AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0010000,Aitkin County Sheriff,Aitkin,2014,0,1,0,8,0,11,21,2,0,0,8,0,96,0,103,239,15,1,0,5,0,85,0,18,82,8,0
MN0020000,Anoka County Sheriff,Anoka,2014,0,2,0,7,0,2,12,7,1,1,29,2,279,0,182,931,77,9,1,8,0,255,0,28,288,10,1
MN0020100,Anoka Police Dept,Anoka,2014,0,0,0,1,0,1,5,2,0,0,16,9,167,0,52,486,26,1,0,1,3,137,0,9,53,5,0
MN0020200,Blaine Police Dept,Anoka,2014,0,0,1,9,0,1,12,5,0,0,11,17,252,0,182,1610,48,4,0,9,9,208,0,40,589,12,2
MN0020300,Centennial Lakes Police Dept,Anoka,2014,0,0,0,0,0,0,3,0,0,0,2,0,44,0,25,116,7,0,0,2,0,36,0,3,13,3,0
MN0020400,Columbia Heights Police Dept,Anoka,2014,0,1,0,1,0,0,2,1,0,0,4,15,157,0,103,378,27,1,0,3,7,127,0,6,63,7,0
MN0020500,Coon Rapids Police Dept,Anoka,2014,0,0,1,2,0,0,1,4,0,0,25,25,220,0,182,1311,48,6,0,4,15,181,0,37,643,27,1
MN0020600,Fridley Police Dept,Anoka,2014,0,1,1,8,0,1,4,4,0,0,8,23,173,0,143,1102,44,4,0,2,6,120,0,15,399,7,2
MN0020700,Lino Lakes Police Dept,Anoka,2014,0,0,0,0,0,0,0,0,0,0,0,1,51,0,19,89,9,0,0,0,1,46,0,4,26,3,0
MN0020800,Spring Lake Park Police Dept,Anoka,2014,0,0,0,0,0,0,0,0,0,0,0,2,84,0,42,204,20,0,0,0,0,42,0,8,32,9,0
